iso2,wave_num,eb_n,exposure,support_aid,support_sanctions,gdp_pc,hicp,displaced_share,psm,psm_z
IT,4,eb100,3,50.29296875,69.921875,32630.0,0.6,0.2722841037831608,30.7,-0.31454786433719084
CY,4,eb100,0,31.225296442687746,31.42292490118577,29320.0,2.4,1.9808573319116116,37.2,-0.06700010563236104
LV,4,eb100,1,70.0990099009901,67.02970297029702,16770.0,1.1,2.2788682588317357,18.7,-0.7715591111768764
LT,4,eb100,1,82.92201382033564,79.66436327739387,19220.0,2.3,2.593726408936614,18.6,-0.7753675382338736
LU,4,eb100,0,59.523809523809526,72.42063492063492,102250.0,2.1,0.6113718184831017,10.9,-1.068616421622672
HU,4,eb100,0,43.34637964774951,55.28375733855186,16050.0,7.7,0.3480301141363769,29.2,-0.3716742701921515
MT,4,eb100,0,60.317460317460316,68.84920634920636,33380.0,3.9,0.357899902407707,8.1,-1.1752523792185985
NL,4,eb100,0,84.4708209693373,88.4272997032641,50660.0,1.4,0.6155645876539775,39.9,0.03582742490656804
AT,4,eb100,2,43.38308457711443,62.985074626865675,45670.0,4.9,0.8960685671206264,72.2,1.2659493643167217
PL,4,eb100,3,84.8780487804878,89.26829268292683,15950.0,6.3,2.5895598749471347,14.2,-0.9429383287417584
PT,4,eb100,0,82.44422890397672,93.50145489815714,22130.0,2.2,0.4784806831015399,17.5,-0.8172602358608448
RO,4,eb100,0,49.2467043314501,62.8060263653484,12970.0,6.9,0.7500041458438598,7.6,-1.1942945145035853
SI,4,eb100,0,46.31268436578171,57.32546705998033,25120.0,4.5,0.406712984394692,48.5,0.3633521518083427
SK,4,eb100,1,33.59840954274354,50.49701789264414,18750.0,6.9,2.0720079163099268,22.7,-0.6192220288969812
FI,4,eb100,0,89.59365708622398,88.89990089197225,43280.0,0.7,1.0397252321633654,89.3,1.9171903910632733
SE,4,eb100,0,91.2464319695528,95.43292102759277,47960.0,3.3,0.4044553866367294,80.6,1.5858572371045012
BE,5,eb101,0,63.618290258449306,74.55268389662028,44410.0,4.9,0.651048277851005,51.1,0.4623712552902746
BG,5,eb101,1,31.931166347992352,45.69789674952199,11330.0,2.5,0.7857443067476267,12.5,-1.0076815887107138
CZ,5,eb101,1,48.927875243664715,65.69200779727096,21950.0,3.1,3.161306924280461,29.7,-0.3526321349071646
DK,5,eb101,1,90.30969030969031,90.20979020979021,58670.0,0.5,0.5390648838859105,79.3,1.5363476853635354
DE,5,eb101,3,61.44964720974984,72.03335471456062,43110.0,2.4,1.5309316419200072,103.0,2.4389448978719144
EE,5,eb101,1,62.837162837162836,66.13386613386614,21060.0,3.1,2.3765409871483474,30.9,-0.3069310102231961
IE,5,eb101,1,68.39481555333998,84.04785643070788,89300.0,1.6,1.9301412023623976,46.0,0.2681414753834082
EL,5,eb101,1,38.47675568743818,56.37982195845697,19020.0,3.2,0.2733292700180921,17.8,-0.8058349546898527
ES,5,eb101,3,55.18962075848303,72.85429141716567,27800.0,3.4,0.4161070940490268,44.8,0.22244035069943957
FR,5,eb101,3,52.49003984063745,62.05179282868526,38180.0,2.4,0.0880742884487993,51.2,0.46617968234727203
HR,5,eb101,1,69.59122632103688,75.77268195413758,17060.0,4.7,0.6143242549716246,39.7,0.02821057079257344
IT,5,eb101,3,48.3177570093458,68.97196261682242,32900.0,0.9,0.2778897438632363,30.7,-0.31454786433719084
CY,5,eb101,1,31.36094674556213,40.03944773175542,29950.0,2.1,2.0618503360531477,37.2,-0.06700010563236104
LV,5,eb101,3,68.8800792864222,64.42021803766104,16910.0,1.1,2.3720106995994303,18.7,-0.7715591111768764
LT,5,eb101,2,79.80099502487562,79.20398009950249,19690.0,0.4,2.6612231716305295,18.6,-0.7753675382338736
LU,5,eb101,0,57.905138339920946,71.14624505928853,101000.0,3.0,0.6145376088088684,10.9,-1.068616421622672
HU,5,eb101,2,44.94602551521099,56.820412168792934,16210.0,3.6,0.3670461041415592,29.2,-0.3716742701921515
MT,5,eb101,0,48.6,69.0,34480.0,2.4,0.3567352864442366,8.1,-1.1752523792185985
NL,5,eb101,1,82.84910965323337,86.03561387066541,50870.0,2.6,0.6159525009889683,39.9,0.03582742490656804
AT,5,eb101,2,48.6646884272997,66.46884272997033,45140.0,3.4,0.7870069605568445,72.2,1.2659493643167217
PL,5,eb101,3,79.32405566600397,88.56858846918489,16510.0,3.0,2.59240812026552,14.2,-0.9429383287417584
PT,5,eb101,1,83.1,91.4,22370.0,2.3,0.4634047906872789,17.5,-0.8172602358608448
RO,5,eb101,1,55.97302504816955,69.55684007707129,13090.0,6.2,0.8043235280667034,7.6,-1.1942945145035853
SI,5,eb101,1,38.147410358565736,54.18326693227092,25480.0,3.0,0.4232681669851771,48.5,0.3633521518083427
SK,5,eb101,2,39.96023856858847,58.94632206759443,19110.0,2.4,2.1934906106103447,22.7,-0.6192220288969812
FI,5,eb101,1,86.2,87.9,43330.0,0.6,1.085146625061944,89.3,1.9171903910632733
SE,5,eb101,1,93.18854886475815,94.66929911154985,48770.0,2.4,0.370366614615057,80.6,1.5858572371045012
BE,6,eb102,0,57.306338028169016,70.68661971830986,44410.0,4.5,0.7102421779428719,51.1,0.4623712552902746
BG,6,eb102,0,26.104023552502454,44.25907752698724,11330.0,2.0,1.0183103479786846,12.5,-1.0076815887107138
CZ,6,eb102,0,40.36259541984733,63.3587786259542,21950.0,3.0,3.4728506942995105,29.7,-0.3526321349071646
DK,6,eb102,0,87.53709198813057,90.60336300692384,58670.0,1.6,0.6304886777921875,79.3,1.5363476853635354
DE,6,eb102,3,60.18158236057069,71.59533073929961,43110.0,2.4,1.3243019124618234,103.0,2.4389448978719144
EE,6,eb102,0,63.536463536463536,70.52947052947053,21060.0,4.5,2.519846335929561,30.9,-0.3069310102231961
IE,6,eb102,0,64.7117296222664,83.20079522862824,89300.0,0.1,2.000306072054743,46.0,0.2681414753834082
EL,6,eb102,0,27.606752730883812,46.57398212512413,19020.0,3.1,0.3068207796553583,17.8,-0.8058349546898527
ES,6,eb102,3,49.80119284294235,64.81113320079523,27800.0,1.8,0.4475141195353035,44.8,0.22244035069943957
FR,6,eb102,3,53.823237338629596,63.55511420059583,38180.0,1.6,0.083843868343909,51.2,0.46617968234727203
HR,6,eb102,0,62.275449101796404,71.15768463073853,17060.0,3.6,0.658602209702983,39.7,0.02821057079257344
IT,6,eb102,3,50.29354207436399,69.47162426614481,32900.0,1.0,0.2795515711644474,30.7,-0.31454786433719084
CY,6,eb102,0,22.355289421157686,35.12974051896207,29950.0,1.6,2.2341454833318672,37.2,-0.06700010563236104
LV,6,eb102,1,69.65174129353234,67.56218905472637,16910.0,2.1,2.494710086102498,18.7,-0.7715591111768764
LT,6,eb102,0,76.42436149312377,78.38899803536346,19690.0,0.1,1.6428201896745234,18.6,-0.7753675382338736
LU,6,eb102,0,47.4609375,61.9140625,101000.0,0.9,0.5654341194851573,10.9,-1.068616421622672
HU,6,eb102,1,38.02541544477028,52.199413489736074,16210.0,3.4,0.3970420549490345,29.2,-0.3716742701921515
MT,6,eb102,0,46.6,65.0,34480.0,2.4,0.3851321251661658,8.1,-1.1752523792185985
NL,6,eb102,0,82.68482490272373,86.67315175097276,50870.0,3.3,0.656414093073477,39.9,0.03582742490656804
AT,6,eb102,0,52.22993062438057,69.17740336967294,45140.0,1.8,0.901214685410127,72.2,1.2659493643167217
PL,6,eb102,3,79.94041708043694,86.09731876861966,16510.0,4.2,2.673864182188511,14.2,-0.9429383287417584
PT,6,eb102,0,82.01923076923077,91.0576923076923,22370.0,2.6,0.4942326522318337,17.5,-0.8172602358608448
RO,6,eb102,0,48.46743295019157,65.90038314176245,13090.0,5.0,0.9107345369962077,7.6,-1.1942945145035853
SI,6,eb102,0,36.75298804780876,49.800796812749006,25480.0,0.0,0.4663482974402869,48.5,0.3633521518083427
SK,6,eb102,0,37.81094527363184,60.995024875621894,19110.0,3.5,2.352578130314247,22.7,-0.6192220288969812
FI,6,eb102,0,87.9,88.7,43330.0,1.5,1.2003352694423888,89.3,1.9171903910632733
SE,6,eb102,0,91.97651663405088,95.30332681017613,48770.0,1.6,0.4257604954345301,80.6,1.5858572371045012
BE,7,eb103,0,61.94251734390485,74.52923686818632,44650.0,3.1,0.738966103827199,51.1,0.4623712552902746
BG,7,eb103,0,32.142857142857146,44.884169884169886,11710.0,2.8,1.14938421961798,12.5,-1.0076815887107138
CZ,7,eb103,0,37.37864077669903,63.20388349514563,22510.0,1.7,3.389889545808699,29.7,-0.3526321349071646
DK,7,eb103,0,86.3773965691221,89.00100908173562,60390.0,1.5,0.5958048530103288,79.3,1.5363476853635354
DE,7,eb103,3,63.147410358565736,75.4980079681275,43210.0,2.2,1.3807483721027063,103.0,2.4389448978719144
EE,7,eb103,0,68.562874251497,72.95409181636727,21250.0,4.4,2.4730017262836728,30.9,-0.3069310102231961
IE,7,eb103,0,68.36327345309381,87.22554890219561,94930.0,2.0,2.031146202455095,46.0,0.2681414753834082
EL,7,eb103,0,35.27093596059113,49.6551724137931,19400.0,2.6,0.3272165814158528,17.8,-0.8058349546898527
ES,7,eb103,0,50.74478649453823,62.66137040714995,28320.0,2.2,0.4707266771327327,44.8,0.22244035069943957
FR,7,eb103,1,54.145854145854145,70.52947052947053,38360.0,0.9,0.0776828981484438,51.2,0.46617968234727203
HR,7,eb103,0,68.82352941176471,73.33333333333333,17590.0,4.0,0.682437053957438,39.7,0.02821057079257344
IT,7,eb103,1,48.59632139399806,66.5053242981607,33080.0,2.0,0.2808793185280051,30.7,-0.31454786433719084
CY,7,eb103,0,27.38095238095238,38.69047619047619,30590.0,1.4,2.347487095179284,37.2,-0.06700010563236104
LV,7,eb103,1,69.29911154985193,69.79269496544916,17520.0,4.0,1.6562173318319973,18.7,-0.7715591111768764
LT,7,eb103,0,79.54319761668322,82.72095332671302,20260.0,3.6,1.5600221955924314,18.6,-0.7753675382338736
LU,7,eb103,0,59.05511811023622,65.94488188976378,100380.0,1.7,0.5249474685947978,10.9,-1.068616421622672
HU,7,eb103,0,40.13671875,50.68359375,16370.0,4.2,0.4185228956396256,29.2,-0.3716742701921515
MT,7,eb103,0,51.4,63.8,35000.0,2.6,0.3987810187200696,8.1,-1.1752523792185985
NL,7,eb103,0,80.29411764705883,84.11764705882354,51400.0,4.1,0.6701386558554806,39.9,0.03582742490656804
AT,7,eb103,0,55.698711595639246,71.25867195242814,45380.0,3.3,0.8870078359607416,72.2,1.2659493643167217
PL,7,eb103,1,70.16683022571148,82.63002944062806,17170.0,3.7,2.693678018176316,14.2,-0.9429383287417584
PT,7,eb103,0,77.14561234329797,88.91031822565091,22560.0,2.1,0.5161570602164631,17.5,-0.8172602358608448
RO,7,eb103,0,51.010587102983635,70.45235803657363,13190.0,4.9,0.9573520684680809,7.6,-1.1942945145035853
SI,7,eb103,0,41.64193867457963,54.10484668644906,25680.0,2.3,0.482436586338785,48.5,0.3633521518083427
SK,7,eb103,0,45.37313432835821,61.39303482587065,19270.0,3.9,2.4329955192878394,22.7,-0.6192220288969812
FI,7,eb103,0,90.26812313803376,89.47368421052632,43450.0,1.9,1.2483208306075386,89.3,1.9171903910632733
SE,7,eb103,0,94.11187438665358,94.3081452404318,49310.0,2.1,0.3404418897004168,80.6,1.5858572371045012
