iso2,wave_num,gdp_pc,hicp,displaced_share
RO,6,13090.0,5.0,0.9107345369962075
RO,7,13190.0,4.9,0.9573520684680807
RO,8,13190.0,8.4,1.025355520207764
RO,9,,,
SI,1,24660.0,11.7,0.2928083979536632
SI,2,25120.0,9.9,0.3689231600606905
SI,3,25120.0,6.6,0.40269781555920436
SI,4,25120.0,4.5,0.40671298439469206
SI,5,25480.0,3.0,0.42326816698517716
SI,6,25480.0,0.0,0.46634829744028694
SI,7,25680.0,2.3,0.482436586338785
SI,8,25680.0,3.1,0.5082478823004905
SI,9,,,
SK,1,18360.0,12.8,1.5271278404449031
SK,2,18750.0,15.1,1.768901810936945
SK,3,18750.0,11.3,1.903922640616918
SK,4,18750.0,6.9,2.0720079163099268
SK,5,19110.0,2.4,2.1934906106103447
SK,6,19110.0,3.5,2.352578130314247
SK,7,19270.0,3.9,2.4329955192878394
SK,8,19270.0,3.9,2.5243331843022476
SK,9,,,
FI,1,44010.0,8.0,0.5828874412629156
FI,2,43280.0,7.9,0.7943968065967286
FI,3,43280.0,4.1,0.9321581532610708
FI,4,43280.0,0.7,1.0397252321633654
FI,5,43330.0,0.6,1.085146625061944
FI,6,43330.0,1.5,1.2003352694423888
FI,7,43450.0,1.9,1.2483208306075386
FI,8,43450.0,1.4,1.357441335308503
FI,9,,,
SE,1,48390.0,8.3,0.36967848113424706
SE,2,47960.0,9.6,0.442567620226514
SE,3,47960.0,6.3,0.3673411043005426
SE,4,47960.0,3.3,0.4044553866367294
SE,5,48770.0,2.4,0.37036661461505704
SE,6,48770.0,1.6,0.42576049543453015
SE,7,49310.0,2.1,0.3404418897004168
SE,8,49310.0,3.1,0.45245855808290936
SE,9,,,
